wallet_address,player_name,actual_royal_favor,gold_value,main_pot_share,chain,day_one_cashout_npc_kills,day_two_cashout_npc_kills,day_three_cashout_npc_kills,day_four_cashout_npc_kills,day_five_cashout_npc_kills
0x78bB8db38f1b8b168A27bCaC77cE00D6e5fFe4f5,lamer007,118891,89214,0.00051715,blast,,,,,
0xd34E32F16e6C23a8aB38aAB8343b1E27dda567A5,smokepear.eth,122012,67820,0.00051622,blast,,,,,
0x9E63453f41982Ec6A60998244cd7Fc2eF2294C5C,arromantsov1,56462,483887,0.00051543,blast,,,,,
0x8dCc286C6B73eC37531A1653C2B0839b2Bbc40C4,CNguyen,93441,43908,0.00051543,ronin,1,,,,
0x975eeD912B50De20908b2276e4a3E379B102ECAd,newzzack,84989,296544,0.00051194,blast,,,,,
0x623BbAb00cd9b16b5d21eD1aF7E5dc760fb38aAE,TR4_Kerimo,62980,338168,0.00050983,ronin,,,,,10
0x40A2C0F8D5b2B42059be294e25cE7bcaF1ddc652,sheepmek,26864,116136,0.00050900,blast,,107,,,
0x3b8dbd73529613781Fe3Cb1f74E829Ffc042560A,yyyyyyy,124136,40531,0.00050781,blast,,,,,
0x348D9a27974C8D1453DdEbAAC591c88cd9c445Fa,udomahorosho,124196,40068,0.00050776,blast,,,,,
0xCe4d27b3060f29b0bb5a36d80040c121562e43E5,CN-Marshall,82125,102746,0.00050736,blast,1,,,,
